merchant,public_category,root,mid_level,leaf
Black Rifle Coffee,Veteran-Owned Coffee,Expense,Food & Dining,Coffee & Tea
Black Rock Coffee Bar,Coffee Chain,Expense,Food & Dining,Coffee & Tea
Black Seed Bagels,Montreal-Style Bagels (NYC),Expense,Food & Dining,Bakery & Desserts
Blacklane,Chauffeur Service,Expense,Transportation,Rideshare
Blackmagic Design,Video Production Equipment,Expense,Shopping,Electronics
BlackRock,Asset Management,Expense,Financial Services,Banking Fees
Blank Street Coffee,Coffee Chain,Expense,Food & Dining,Coffee & Tea
Blaze Pizza,Fast Casual Pizza,Expense,Food & Dining,Fast Food
Blenz Coffee,Coffee Chain (Vancouver),Expense,Food & Dining,Coffee & Tea
Blick Art Materials,Art Supply Store,Expense,Shopping,Office Supplies
Blimpie,Sub Sandwich Chain,Expense,Food & Dining,Fast Food
Blink Fitness,Budget Gym,Expense,Entertainment,Sports & Recreation
Blink Health,Prescription Discount,Expense,Financial Services,Banking Fees
Bliss Spa,Day Spa,Expense,Health & Wellness,Beauty & Spa
Blizzard Entertainment,Game Developer (WoW/OW),Expense,Entertainment,Gaming
Block House,Steakhouse (Germany),Expense,Food & Dining,Restaurants
Bloomingdale's,Upscale Department Store,Expense,Shopping,General Retail
Blue Apron,Meal Kit Delivery,Expense,Food & Dining,Restaurants
Blue Bell Ice Cream,Ice Cream (Texas),Expense,Food & Dining,Ice Cream & Yogurt
Blue Bottle Coffee,Specialty Coffee,Expense,Food & Dining,Coffee & Tea
Blue Buffalo,Pet Food Brand,Expense,Shopping,Pet Supplies
Blue Cross Blue Shield,Health Insurance,Expense,Financial Services,Banking Fees
Blue Man Group,Performance Art,Expense,Entertainment,Movies & Events
Blue Microphones,USB & Studio Microphones,Expense,Shopping,Electronics
Blue Nile,Online Diamond Retailer,Expense,Shopping,Clothing & Apparel
Blue Tokai,Specialty Coffee (India),Expense,Food & Dining,Coffee & Tea
Bluebikes,Bike Share (Boston),Expense,Transportation,Rideshare
Bluehost,Web Hosting,Expense,Technology,Software & SaaS
BluePearl Pet Hospital,Emergency Vet,Expense,Shopping,Pet Supplies
BMW Service,Automobile Dealer Service,Expense,Transportation,Car Service & Parts
BNP Paribas,Bank (France),Expense,Financial Services,Banking Fees
Bob Evans,Family Dining Restaurant,Expense,Food & Dining,Restaurants
Bob's Burgers Brazil,Fast Food (Brazil),Expense,Food & Dining,Restaurants
Bob's Discount Furniture,Discount Furniture,Expense,Shopping,Home & Garden
Bobbi Brown,Prestige Cosmetics,Expense,Health & Wellness,Beauty & Spa
Bodega Aurrera,Discount Supermarket,Expense,Food & Dining,Groceries
Bogner,Luxury Sportswear (Germany),Expense,Shopping,Clothing & Apparel
Bojangles,Fast Food Fried Chicken,Expense,Food & Dining,Fast Food
Boll & Branch,Premium Bedding,Expense,Shopping,Home & Garden
Bolt,Ride-Hailing Service,Expense,Transportation,Rideshare
Bolt Food,Food Delivery (EU),Expense,Food & Dining,Food Delivery
Bonanza Coffee,Specialty Coffee (Berlin),Expense,Food & Dining,Coffee & Tea
Bonchon,Korean Fried Chicken Chain,Expense,Food & Dining,Fast Food
Bond Vet,Veterinary Clinic,Expense,Shopping,Pet Supplies
Bonefish Grill,Casual Dining Seafood,Expense,Food & Dining,Restaurants
Bonobos,Men's Fashion DTC,Expense,Shopping,Clothing & Apparel
Boohoo,Online Fast Fashion,Expense,Shopping,Clothing & Apparel
Booking.com,Online Travel Agency,Expense,Travel,Hotels & Lodging
Books-A-Million,Book Retailer,Expense,Shopping,Books & Media
Bookshop.org,Online Indie Bookstore,Expense,Shopping,Books & Media
Boost Juice,Juice & Smoothie (AU),Expense,Food & Dining,Snacks & Drinks
Boost Mobile,Prepaid Wireless,Expense,Housing & Utilities,Utilities
Booths,Premium Supermarket,Expense,Food & Dining,Groceries
Boots,Pharmacy & Health/Beauty (UK),Expense,Health & Wellness,Pharmacy
Born Primitive,CrossFit Apparel,Expense,Shopping,Clothing & Apparel
Bornga,Korean BBQ Chain,Expense,Food & Dining,Restaurants
Borough Market,Food Market (London),Expense,Food & Dining,Groceries
Bosch Car Service,Auto Repair (Global),Expense,Transportation,Car Service & Parts
Bose,Audio Equipment,Expense,Shopping,Electronics
Boston Market,Rotisserie Restaurant,Expense,Food & Dining,Restaurants
Boston Pizza,Pizza & Sports Bar (Canada),Expense,Food & Dining,Restaurants
Bottega Veneta,Luxury Fashion (Italy),Expense,Shopping,Clothing & Apparel
Boudin Bakery,Sourdough Bakery (SF),Expense,Food & Dining,Bakery & Desserts
Boulanger,Electronics Retailer (France),Expense,Shopping,Electronics
Bourke Street Bakery,Artisan Bakery (Sydney),Expense,Food & Dining,Bakery & Desserts
Bow Tie Cinemas,Movie Theater,Expense,Entertainment,Movies & Events
Bowers & Wilkins,Premium Audio (UK),Expense,Shopping,Electronics
Bowflex,Home Fitness Equipment,Expense,Shopping,Sporting Goods
Bowlero,Bowling & Entertainment,Expense,Entertainment,Amusement & Parks
Box,Enterprise Cloud Storage,Expense,Technology,Software & SaaS
Box8,Indian Meal Delivery,Expense,Food & Dining,Restaurants
Boy Scouts/Scouting,Youth Organization,Expense,Donations & Gifts,Charity & Donations
Boy Smells,Candles & Fragrance,Expense,Shopping,Home & Garden
BP,Gas Station,Expense,Transportation,Gas & Fuel
Brainly,Student Q&A Platform,Expense,Education,Online Learning
Brake Masters,Brake Repair Service,Expense,Transportation,Car Service & Parts
Brakes Plus,Brake & Auto Repair,Expense,Transportation,Car Service & Parts
Brasserie Blanc,French Restaurant (UK),Expense,Food & Dining,Restaurants
Braum's,Fast Food & Ice Cream,Expense,Food & Dining,Fast Food
Bravo! Italian Kitchen,Italian Restaurant,Expense,Food & Dining,Restaurants
Braze,Customer Engagement,Expense,Technology,Software & SaaS
Bread Ahead,Bakery & Baking School (London),Expense,Food & Dining,Bakery & Desserts
Breads Bakery,Israeli/Danish Bakery (NYC),Expense,Food & Dining,Bakery & Desserts
BreadTalk,Asian Bakery Chain,Expense,Food & Dining,Bakery & Desserts
Breeze Airways,Low-Cost Airline,Expense,Travel,Airlines
Breitling,Luxury Watch Manufacturer,Expense,Shopping,Clothing & Apparel
Breville,Kitchen Appliances,Expense,Shopping,Electronics
Brewers Fayre,Pub Restaurant (UK),Expense,Food & Dining,Restaurants
Brickfields,Bakery & Cafe (Sydney),Expense,Food & Dining,Bakery & Desserts
Bridgehead Coffee,Coffee Chain (Ottawa),Expense,Food & Dining,Coffee & Tea
Bridgestone,Tire Manufacturer & Service,Expense,Transportation,Car Service & Parts
Bridgewater Associates,Hedge Fund,Expense,Financial Services,Banking Fees
Bright Health,Health Insurance,Expense,Financial Services,Banking Fees
Bright Horizons,Childcare & Education,Expense,Education,Online Learning
Brilliant Earth,Ethical Jewelry,Expense,Shopping,Clothing & Apparel
Brilliant.org,STEM Learning,Expense,Education,Online Learning
Brinker International,Restaurant Group,Expense,Food & Dining,Restaurants
Brioche Dorée,French Bakery Cafe,Expense,Food & Dining,Coffee & Tea
Bristol Farms,Premium Supermarket,Expense,Food & Dining,Groceries
BritBox,British TV Streaming,Expense,Entertainment,Streaming Video
British Airways,Major Airline (UK),Expense,Travel,Airlines
British Museum,Museum (UK),Expense,Entertainment,Movies & Events
Broadway,Live Theater (NYC),Expense,Entertainment,Movies & Events
Broken Yolk Cafe,Breakfast & Brunch,Expense,Food & Dining,Restaurants
Bronx Zoo,Zoo,Expense,Entertainment,Amusement & Parks
Brooklinen,DTC Bedding,Expense,Shopping,Home & Garden
Brooks Running,Running Footwear,Expense,Shopping,Clothing & Apparel
Brookshire's,Supermarket,Expense,Food & Dining,Groceries
Brother,Printers & Sewing Machines,Expense,Shopping,Electronics
Bruegger's Bagels,Bagel Chain,Expense,Food & Dining,Bakery & Desserts
Brunello Cucinelli,Ultra-Luxury Italian Fashion,Expense,Shopping,Clothing & Apparel
Bruster's,Ice Cream Chain,Expense,Food & Dining,Ice Cream & Yogurt
Bruster's Real Ice Cream,Ice Cream Chain,Expense,Food & Dining,Ice Cream & Yogurt
BT (British Telecom),Telecom (UK),Expense,Housing & Utilities,Utilities
Bubble,No-Code App Builder,Expense,Technology,Software & SaaS
Buc-ee's,Travel Center & Convenience,Expense,Food & Dining,Groceries
Buca di Beppo,Italian Family Restaurant,Expense,Food & Dining,Restaurants
Budgens,Convenience Supermarket,Expense,Food & Dining,Groceries
Budget Car Rental,Car Rental,Expense,Travel,Hotels & Lodging
Buff,Headwear & Neckwear (Spain),Expense,Shopping,Sporting Goods
Buffalo Grill,Steakhouse (France),Expense,Food & Dining,Restaurants
Buffalo Wild Wings,Sports Bar & Wings,Expense,Food & Dining,Fast Food
Buffy,Sustainable Bedding,Expense,Shopping,Home & Garden
Bugaboo,Premium Stroller,Expense,Kids & Family,Toys & Activities
Build-A-Bear,Custom Stuffed Animals,Expense,Kids & Family,Toys & Activities
Build-A-Bear Workshop,Custom Stuffed Animals,Expense,Kids & Family,Toys & Activities
Bukalapak,Online Marketplace (Indonesia),Expense,Shopping,General Retail
Bukhara,North Indian Fine Dining,Expense,Food & Dining,Restaurants
Bulk Barn,Bulk Food Store (Canada),Expense,Food & Dining,Groceries
Bundesliga,German Soccer League,Expense,Entertainment,Sports & Recreation
Bungie,Game Developer (Destiny),Expense,Entertainment,Gaming
Burberry,Luxury Fashion (UK),Expense,Shopping,Clothing & Apparel
Bureau Vallée,Office Supplies (France),Expense,Shopping,Office Supplies
Burger King,Fast Food Restaurant,Expense,Food & Dining,Fast Food
Burger King India,Fast Food (India),Expense,Food & Dining,Restaurants
BurgerFi,Fast Casual Burger,Expense,Food & Dining,Fast Food
Burke Williams,Day Spa,Expense,Health & Wellness,Beauty & Spa
Burlington,Off-Price Department Store,Expense,Shopping,General Retail
Burn Boot Camp,Fitness Camp,Expense,Entertainment,Sports & Recreation
Burpee Seeds,Seed & Garden Company,Expense,Shopping,Home & Garden
Burrow,DTC Sofa & Furniture,Expense,Shopping,Home & Garden
Busaba,Thai Restaurant (UK),Expense,Food & Dining,Restaurants
Busch Gardens,Theme Park,Expense,Entertainment,Amusement & Parks
Busuu,Language Learning App,Expense,Education,Online Learning
Buttondown,Newsletter Tool,Expense,Technology,Software & SaaS
Buy Me a Coffee,Creator Tips Platform,Expense,Donations & Gifts,Charity & Donations
BuyBuy Baby,Baby Products Retailer,Expense,Kids & Family,Toys & Activities
BVG Ticket,Berlin Transit,Expense,Transportation,Public Transit
By Malene Birger,Fashion (Denmark),Expense,Shopping,Clothing & Apparel
Byju's,EdTech Platform (India),Expense,Education,Online Learning
Byredo,Niche Fragrance,Expense,Health & Wellness,Beauty & Spa
Byron Burger,Burger Restaurant (UK),Expense,Food & Dining,Restaurants
Byte,Clear Aligners,Expense,Health & Wellness,Health Products
Cabela's,Outdoor & Hunting,Expense,Shopping,Clothing & Apparel
Cabify,Ride-Hailing (Spain/Latin Am),Expense,Transportation,Rideshare
Cafe Amazon,Coffee Chain (Thailand),Expense,Food & Dining,Coffee & Tea
Cafe Integral,Specialty Coffee (NYC),Expense,Food & Dining,Coffee & Tea
Cafe Rio,Mexican Restaurant,Expense,Food & Dining,Restaurants
Caffe Bene,Coffee Chain (Korea),Expense,Food & Dining,Restaurants
Caffè Nero,Coffee Shop Chain (UK),Expense,Food & Dining,Coffee & Tea
Café Bene,Coffee Chain (Korea),Expense,Food & Dining,Coffee & Tea
Café Coffee Day,Coffee Chain (India),Expense,Food & Dining,Coffee & Tea
Café de Coral,Fast Casual & Coffee (HK),Expense,Food & Dining,Coffee & Tea
Café Gerbeaud,Hungarian Patisserie,Expense,Food & Dining,Bakery & Desserts
Café Rouge,French Restaurant (UK),Expense,Food & Dining,Restaurants
CalDigit,Mac Docks & Storage,Expense,Shopping,Electronics
Calendly,Scheduling Platform,Expense,Technology,Software & SaaS
Caliber Collision,Auto Body Repair,Expense,Transportation,Car Service & Parts
California Pizza Kitchen,Pizza & Casual Dining,Expense,Food & Dining,Restaurants
California Water Service,Water Utility,Expense,Housing & Utilities,Utilities
Call a Bike,Bike Share (Germany),Expense,Transportation,Rideshare
Callaway Golf,Golf Equipment,Expense,Shopping,Sporting Goods
Calm,Meditation & Sleep App,Expense,Health & Wellness,Health Products
Calphalon,Cookware & Bakeware,Expense,Shopping,Home & Garden
Caltex,Gas Station (Asia-Pacific),Expense,Transportation,Gas & Fuel
Calvin Klein,Designer Fashion & Underwear,Expense,Shopping,Clothing & Apparel
Calzedonia,Legwear & Swimwear (Italy),Expense,Shopping,Clothing & Apparel
Camaïeu,Women's Fashion (France),Expense,Shopping,Clothing & Apparel
Cambria Hotels,Upscale Hotel,Expense,Travel,Hotels & Lodging
CamelBak,Hydration Products,Expense,Shopping,Sporting Goods
Camp Bow Wow,Dog Daycare & Boarding,Expense,Shopping,Pet Supplies
Canali,Luxury Men's Suiting (Italy),Expense,Shopping,Clothing & Apparel
Candlewood Suites,Extended Stay,Expense,Travel,Hotels & Lodging
Cane's,Chicken Fingers Restaurant,Expense,Food & Dining,Restaurants
Canon,Camera & Imaging,Expense,Shopping,Electronics
Canopy by Hilton,Lifestyle Hotel,Expense,Travel,Hotels & Lodging
Canva,Graphic Design Platform,Expense,Technology,Software & SaaS
Capcom,Game Publisher (Japan),Expense,Entertainment,Gaming
Capella Hotels,Luxury Boutique,Expense,Travel,Hotels & Lodging
Capital Bikeshare,Bike Share (DC),Expense,Transportation,Rideshare
Capital One,Bank & Credit Card,Expense,Financial Services,Banking Fees
Capriotti's,Sandwich Shop,Expense,Food & Dining,Fast Food
Capsule Pharmacy,Online Pharmacy,Expense,Health & Wellness,Pharmacy
Captain D's,Fast Food Seafood,Expense,Food & Dining,Fast Food
Caption by Hyatt,Lifestyle Hotel,Expense,Travel,Hotels & Lodging
Capture One,Photo Editing Software,Expense,Technology,Software & SaaS
Car2go/ShareNow,Carsharing,Expense,Transportation,Rideshare
Cardenas Markets,Hispanic Supermarket,Expense,Food & Dining,Groceries
Care/of,Personalized Vitamins,Expense,Health & Wellness,Health Products
Careem,Ride-Hailing (Middle East),Expense,Transportation,Rideshare
Careem NOW,Delivery (Middle East),Expense,Food & Dining,Food Delivery
Caribou Coffee,Specialty Coffee Chain,Expense,Food & Dining,Coffee & Tea
Cariuma,Sustainable Sneakers,Expense,Shopping,Clothing & Apparel
Carl's Jr.,Fast Food Restaurant,Expense,Food & Dining,Fast Food
Carlo's Bakery,Italian-American Bakery,Expense,Food & Dining,Bakery & Desserts
Carluccio's,Italian Restaurant (UK),Expense,Food & Dining,Restaurants
Carowinds,Amusement Park,Expense,Entertainment,Amusement & Parks
CarQuest,Auto Parts Retailer,Expense,Transportation,Car Service & Parts
Carrabba's Italian Grill,Italian Casual Dining,Expense,Food & Dining,Restaurants
Carrd,Simple One-Page Websites,Expense,Technology,Software & SaaS
Carrefour,Hypermarket Chain,Expense,Food & Dining,Groceries
Carrefour UAE,Hypermarket Chain,Expense,Food & Dining,Groceries
Carrier HVAC,Air Conditioning,Expense,Housing & Utilities,Home Services
Carter's,Children's Clothing,Expense,Shopping,Clothing & Apparel
Cartier,Luxury Jewelry & Watches,Expense,Shopping,Clothing & Apparel
Carvel,Ice Cream Chain,Expense,Food & Dining,Ice Cream & Yogurt
Casetify,Custom Phone Cases,Expense,Shopping,Electronics
Casey's Gas,Convenience Store Gas,Expense,Transportation,Gas & Fuel
Casey's General Store,Convenience Store & Gas,Expense,Food & Dining,Groceries
Cash App,P2P Payment & Banking,Expense,Technology,Software & SaaS
Cash App Received,P2P Payment,Income,Transfers,Deposit
Cash App Taxes,Free Tax Filing,Expense,Financial Services,Banking Fees
Casino,Supermarket Chain,Expense,Food & Dining,Groceries
Casio,Watch & Electronics (Japan),Expense,Shopping,Clothing & Apparel
Casper,DTC Mattress,Expense,Shopping,Home & Garden
Cassano's Pizza King,Pizza (Ohio),Expense,Food & Dining,Fast Food
Cat & Cloud Coffee,Specialty Coffee,Expense,Food & Dining,Coffee & Tea
Cathay Pacific,Major Airline (Hong Kong),Expense,Travel,Airlines
Cava,Mediterranean Fast Casual,Expense,Food & Dining,Restaurants
Caviar,Premium Food Delivery,Expense,Food & Dining,Food Delivery
CB2,Modern Home Furnishings,Expense,Shopping,Home & Garden
CCM Hockey,Hockey Equipment,Expense,Shopping,Sporting Goods
CD Projekt Red,Game Developer,Expense,Entertainment,Gaming
Cebu Pacific,Low-Cost (Philippines),Expense,Travel,Airlines
Cecil Whittaker's,St. Louis Pizza,Expense,Food & Dining,Fast Food
Cedar Point,Amusement Park,Expense,Entertainment,Amusement & Parks
Celine,Luxury Fashion (France),Expense,Shopping,Clothing & Apparel
Celio,Men's Fashion (France),Expense,Shopping,Clothing & Apparel
Cengage,Educational Publisher,Expense,Education,Online Learning
Centene,Managed Care,Expense,Financial Services,Banking Fees
CenterPoint Energy,Electric & Gas Utility,Expense,Housing & Utilities,Utilities
Centr,Fitness App,Expense,Entertainment,Sports & Recreation
Central Market,Specialty Grocery,Expense,Food & Dining,Groceries
CenturyLink/Lumen,Internet & Phone,Expense,Housing & Utilities,Utilities
Cepsa,Gas Station (Spain),Expense,Transportation,Gas & Fuel
CeraVe,Dermatologist Skincare,Expense,Health & Wellness,Beauty & Spa
Cerebelly,Brain-Building Baby Food,Expense,Kids & Family,Toys & Activities
CGV,Movie Theater (Korea/Global),Expense,Entertainment,Movies & Events
Chaayos,Chai Cafe (India),Expense,Food & Dining,Restaurants
Chai Point,Chai & Snacks (India),Expense,Food & Dining,Restaurants
Chanel,Luxury Fashion House,Expense,Shopping,Clothing & Apparel
Change.org,Online Petition Platform,Expense,Donations & Gifts,Charity & Donations
Charity Navigator,Charity Rating,Expense,Donations & Gifts,Charity & Donations
Charity: Water,Clean Water Nonprofit,Expense,Donations & Gifts,Charity & Donations
Charles & Keith,Fashion Accessories,Expense,Shopping,Clothing & Apparel
Charles Schwab,Brokerage,Expense,Financial Services,Banking Fees
Charley's Philly Steaks,Cheesesteak,Expense,Food & Dining,Fast Food
